context.title,image.url,context.url,image.height,image.width,image.source,image.reference,Query,ID
Lemaire Channel - All You Need to Know BEFORE You Go (2024),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/92/af/13/lemaire-channel.jpg?w=1200&h=-1&s=1,https://www.tripadvisor.com/Attraction_Review-g660183-d7658094-Reviews-Lemaire_Channel-Antarctic_Peninsula.html,900,1200,tripadvisor.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
Ski Goggles Were the Hero Item on My Antarctica Packing List ...,https://media.cntraveler.com/photos/64011aab6787b2004db2e608/16:9/w_2560%2Cc_limit/Antarctica-2023_GettyImages-538290829.jpg,https://www.cntraveler.com/story/ski-goggles,1440,2560,cntraveler.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
"Lemaire Channel | Antarctic Peninsula, Antarctica | Attractions ...",https://lp-cms-production.imgix.net/2019-06/9d1609c3b298eaa8ff389bed46688684-lemaire-channel.jpg?w=1920&h=640&fit=crop&crop=faces%2Cedges&auto=format&q=75,https://www.lonelyplanet.com/central-peninsula/attractions/lemaire-channel/a/poi-sig/363465/1338008,640,1920,lonelyplanet.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
Sunset 11.30pm January 2017 - Picture of Lemaire Channel ...,https://media-cdn.tripadvisor.com/media/photo-s/0e/5a/8f/ab/sunset-1130pm-january.jpg,https://www.tripadvisor.com/LocationPhotoDirectLink-g660183-d7658094-i240816043-Lemaire_Channel-Antarctic_Peninsula.html,411,550,tripadvisor.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
Antarctic Peninsula: All You Must Know Before You Go (2024 ...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/92/af/13/lemaire-channel.jpg?w=600&h=-1&s=1,https://www.tripadvisor.com/Tourism-g660183-Antarctic_Peninsula-Vacations.html,450,600,tripadvisor.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
"Lemaire Channel, Antarctica - Picture of Antarctic Peninsula ...",https://media-cdn.tripadvisor.com/media/photo-s/06/13/54/00/antarctic-peninsula.jpg,https://www.tripadvisor.com/LocationPhotoDirectLink-g660183-i101929984-Antarctic_Peninsula.html,413,550,tripadvisor.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
Antarctica - Lonely Planet,https://lp-cms-production.imgix.net/2019-06/9d1609c3b298eaa8ff389bed46688684-lemaire-channel.jpg?fit=crop&ar=1%3A1&w=1200&auto=format&q=75,https://www.lonelyplanet.com/antarctica,1200,1200,lonelyplanet.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
South entrance of Lemaire Channel - Picture of Lemaire Channel ...,https://media-cdn.tripadvisor.com/media/photo-s/07/4e/21/c4/south-entrance-of-lemaire.jpg,https://www.tripadvisor.com/LocationPhotoDirectLink-g660183-d7658094-i122560964-Lemaire_Channel-Antarctic_Peninsula.html,413,550,tripadvisor.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
Antarctic Peninsula: All You Must Know Before You Go (2024 ...,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/92/af/13/lemaire-channel.jpg?w=600&h=400&s=1,https://www.tripadvisor.com/Tourism-g660183-Antarctic_Peninsula-Vacations.html,400,600,tripadvisor.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
Icy Bits- Lemaire Channel Antarctica - Picture of Antarctic ...,https://media-cdn.tripadvisor.com/media/photo-s/0a/29/7b/ed/icy-bits-lemaire-channel.jpg,https://www.tripadvisor.com/LocationPhotoDirectLink-g660183-i170490861-Antarctic_Peninsula.html,365,550,tripadvisor.com,NA,"Lemaire Channel, Antarctica",ChIJwfnBRsqseLwRly_SeMg1kOU
