Attraction,latitude,longitude,address,hierarchy,id,Version,Place
Lemaire Channel,-64.80924259999999,-62.9698297,"52RJ+83 González Videla Antarctic Base, Antarctica",Antarctica,ChIJwfnBRsqseLwRly_SeMg1kOU,v1.0.1,Antarctica
Mount Aconcagua,-32.653179,-70.0108675,"Provincial Aconcagua Park, Parque Provincial Aconcagua, Mendoza, Argentina","Mendoza, Argentina",ChIJR4DDAFWSh5YRaUihql7BNFI,v1.0.1,Argentina (Mendoza)
Iguazu Falls,-25.690864,-54.4408161,"8H55+MM Puerto Canoas, Misiones, Argentina","Misiones, Argentina",ChIJ50jnOXPq9pQRL5ZsgeofhRw,v1.0.1,Argentina (Misiones)
Iguazu Falls (Brazil Side),-25.690864,-54.4408161,"8H55+MM Puerto Canoas, Misiones, Argentina","Misiones, Argentina",ChIJ50jnOXPq9pQRL5ZsgeofhRw,v1.0.1,Argentina (Misiones)
Iguazu Falls (Brazilian Side),-25.690864,-54.4408161,"8H55+MM Puerto Canoas, Misiones, Argentina","Misiones, Argentina",ChIJ50jnOXPq9pQRL5ZsgeofhRw,v1.0.1,Argentina (Misiones)
Iguazu Falls (Paraguay Side),-25.690864,-54.4408161,"8H55+MM Puerto Canoas, Misiones, Argentina","Misiones, Argentina",ChIJ50jnOXPq9pQRL5ZsgeofhRw,v1.0.1,Argentina (Misiones)
Iguazu Falls Full Moon Walk,-25.701401,-54.444851,"7HX4+C3 Puerto Canoas, Misiones, Argentina","Misiones, Argentina",ChIJkTlQ_w_q9pQR_KGUgOolll8,v1.0.1,Argentina (Misiones)
Torres del Rio Azul,-41.9789677,-71.5729197,"2CCG+CR El Bolsón, Río Negro Province, Argentina","Río Negro, Argentina",ChIJk0p2GoW_G5YR6mK-ujvCsVI,v1.0.1,Argentina (Río Negro)
Torres del Río Azul,-41.9789677,-71.5729197,"2CCG+CR El Bolsón, Río Negro Province, Argentina","Río Negro, Argentina",ChIJk0p2GoW_G5YR6mK-ujvCsVI,v1.0.1,Argentina (Río Negro)
Los Glaciares Fitz Roy Trek,-50.3305556,-73.2341667,"Lake Viedma, in the Los Glaciares National Park, Santa Cruz Province in, Santa Cruz, Argentina","Santa Cruz, Argentina",ChIJVZJRWSiypL0R3dHwpGmtXeY,v1.0.1,Argentina (Santa Cruz)
Fitz Roy (Patagonia),-49.271246,-73.04322599999999,4728PXH4+GP,None,ChIJ7b4Xfosavb0RXZ5CiCuG4QA,v1.0.0,Argentina (Santa Cruz)
Perito Moreno Glacier,-50.4967297,-73.1376612,37X8GV36+8W,None,ChIJw1B4IWPJpL0Rvnl0r--igaQ,v1.0.1,Argentina (Santa Cruz)
Blue Mountains Three Sisters,-33.732102,150.31215,"Three Sisters walk, Cliff Dr, Katoomba NSW 2780, Australia","New South Wales, Australia",ChIJhyIHGJtuEmsRpp44zBNBbAQ,v1.0.1,Australia (New South Wales)
Glowworm Tunnel,-33.3349308,150.2493721,"Glowworm Tunnel Rd, Newnes Plateau NSW 2790, Australia","New South Wales, Australia",ChIJNbQ1vjuNDWsRdBDKwp0oo5U,v1.0.1,Australia (New South Wales)
Mount Kosciuszko,-36.45589750000001,148.2635987,"Summit Walk, Kosciuszko NSW 2627, Australia","New South Wales, Australia",ChIJ-QsbV5NJI2sRTfrMuJwpGWc,v1.0.1,Australia (New South Wales)
Kakadu National Park,-13.0922931,132.3937658,5QRJW95V+3G,None,ChIJhWGrIw_RuSwRYAaxDakXAg8,v1.0.1,Australia (Northern)
Uluru (Ayers Rock),-25.3444277,131.0368822,5Q6HM24P+6Q,None,ChIJI1JibStsIysRIV_Fm03NqEM,v1.0.1,Australia (Northern)
Uluru Kata Tjuta Sunrise,-25.3437797,131.0346514,5Q6HM24M+FV,None,ChIJgbjTfixsIysR5BrpX82GKts,v1.0.1,Australia (Northern)
Uluru Sunrise,-25.3361521,131.0048557,5Q6HM273+GW,None,ChIJWQzjSmFsIysR_E10_GhistI,v1.0.1,Australia (Northern)
Tolmer Falls,-13.2005171,130.7134249,"Tolmer Falls, Litchfield Park NT 0822, Australia","Northern, Australia",ChIJL1DO3qoGvywR5nclJ_L6q34,v1.0.0,Australia (Northern)
Cape Tribulation,-16.0888584,145.4622284,"Dubuji Boardwalk, 3867 Cape Tribulation Rd, Cape Tribulation QLD 4873, Australia","Queensland, Australia",ChIJEXX4lYNenWkR8HIgf_HuAAQ,v1.0.1,Australia (Queensland)
Daintree Rainforest,-16.1700308,145.4184612,"RCH9+X9 Diwan QLD, Australia","Queensland, Australia",ChIJywSK0T5XnWkRjxpQmVCFfBQ,v1.0.1,Australia (Queensland)
